id,nome,email,data_nascimento,cpf,telefone,salario,ativo,ultima_compra,categoria_cliente,observacoes
620,Ana Julia Monteiro,ana-sophia81@example.com,1945-08-13,318.542.067-53,+55 31 2328-8285,21624.93,False,23/12/2023,diamante,
621,Luiz Felipe da Cunha,joao-miguel21@example.net,1981-12-12,951.268.074-20,51 7317 1356,19045.9,False,04/03/2024,diamante,
622,Ísis Macedo,luigi43@example.com,2003-12-01,475.016.983-84,51 6509 4439,7329.82,sim,16/06/2023,diamante,
623,Julia Abreu,mouraerick@example.com,1972-04-19,864.193.057-48,84 2956 7928,18667.73,não,06/11/2024,,Adipisci voluptate quae odit sint quas eos minus explicabo minus distinctio.
624,Juliana Castro,henrique21@example.org,1996-07-28,00000000000,0300 300 5400,7753.34,,,prata,
625,Mirella Leão,martinsdavi@example.org,1986-09-09,508.936.427-38,81 4021 2715,14926.89,sim,19/09/2024,diamante,
626,Vitória Casa Grande,ssilva@example.net,1993-07-05,618.740.395-93,51 3912 2623,2849.72,,23/01/2024,bronze,Rerum sint ab quam quas sapiente quisquam.
627,Enrico Pimenta,vargasenzo@example.com,1980-06-22,268.135.490-06,11 1819-2189,10680.43,sim,28/07/2024,bronze,Quidem molestias magnam deleniti libero quidem autem.
628,Srta. Sara Azevedo,scassiano@example.net,1989-09-13,659.210.748-02,84 5323 8748,22692.95,sim,06/08/2024,ouro,Numquam temporibus doloribus vero laudantium.
629,Dra. Camila Vasconcelos,hdas-neves@example.org,1964-08-01,301.476.852-90,41 3499 6659,6538.1,True,19/08/2023,,Voluptatum velit porro assumenda excepturi est doloremque ipsum.
630,Davi Lucca Rios,emilly28@example.org,1991-10-07,971.502.368-12,0500-653-2702,5141.04,,23/08/2023,prata,Reprehenderit pariatur aut eum reprehenderit porro.
631,Maria Cecília Costa,marina92@example.net,1986-10-31,231.758.940-97,(021) 8999-5200,5134.82,não,14/04/2025,,
632,Melina Marques,maria-cecilia56@example.com,2004-01-31,586.097.423-00,0300 085 2522,20552.55,True,07/10/2023,bronze,
633,Maria Luísa Vieira,leonardo37@example.net,1955-12-01,623.817.594-09,,1502.94,,11/08/2023,diamante,
634,Sr. Samuel Farias,maria-liz86@example.org,1978-10-09,249.036.587-83,(011) 1191-3046,,não,,ouro,Magni ut accusantium alias architecto.
635,Clarice Ribeiro,emanuel49@example.com,1957-03-15,795.682.403-65,84 7306 9400,10718.31,sim,03/10/2023,diamante,Fuga suscipit nesciunt nam accusamus.
636,Mirella Gonçalves,mendoncamathias@example.net,2002-10-22,863.912.047-13,(051) 5028-4996,17458.38,sim,07/03/2025,diamante,Enim expedita dolorem debitis necessitatibus fuga voluptates.
637,Letícia Cirino,agatha39@example.net,1964-07-07,00000000000,+55 71 5604 4336,10959.55,não,16/09/2024,bronze,
638,João Vitor da Cunha,mateusrezende@example.com,1964-03-17,258.493.076-56,+55 51 5751 2650,20537.65,não,02/08/2024,ouro,Consectetur corrupti aperiam repudiandae cupiditate nemo natus.
639,Ana Vitória Cavalcanti,knovaes@example.org,2001-07-23,217.654.908-20,+55 21 1365-7714,9112.08,,04/05/2025,bronze,Voluptatibus dolorum ad tenetur alias autem nulla nihil.
640,Isabella Rocha,xmendonca@example.net,1989-06-02,819.206.354-24,31 2013-8846,6474.21,False,11/09/2024,diamante,
641,Henry Gabriel Albuquerque,pietraalves@example.com,1986-07-20,943.760.528-92,+55 31 6461 5237,10353.54,sim,03/08/2023,,
642,Gabriela Carvalho,casa-grandearthur-gabriel@example.net,1952-12-26,034.297.165-43,+55 (011) 7261-0598,16330.9,,24/10/2023,,
643,Dr. Francisco da Mata,wbarbosa@example.net,1985-09-15,132.684.059-24,+55 (031) 3215-4341,7955.31,,28/02/2024,ouro,
644,Sabrina Moraes,peixotoisabel@example.net,1955-06-20,902.635.187-95,31 5229 6289,21945.38,,18/05/2023,prata,
645,Ayla da Paz,brenda22@example.net,1969-07-31,382.510.947-04,(071) 4130-1938,8620.94,,12/03/2024,diamante,Quo officia voluptatum voluptatibus assumenda earum vero quaerat.
646,Sr. João Gabriel da Cunha,lribeiro@example.org,1953-04-10,823.109.675-21,84 6353 1162,1976.25,não,22/05/2024,diamante,Magni ratione possimus in expedita dolorem iusto earum quibusdam.
647,Mariah Cavalcante,da-costacatarina@example.com,1954-05-28,843.716.502-44,+55 (061) 1913-2506,17512.57,não,23/03/2024,diamante,
648,Rafael da Rocha,jcosta@example.org,1960-04-28,314.720.985-79,81 9559-8125,4213.67,não,09/04/2024,bronze,
649,Dr. Enzo Caldeira,joao-guilhermepeixoto@example.com,2003-05-29,175.802.649-94,+55 81 3376-9154,24194.87,True,03/04/2025,diamante,Error sint fugit autem minus optio.
650,Murilo Martins,msilveira@example.org,1988-04-13,670.358.241-62,+55 41 6502-3523,16300.73,,07/03/2024,ouro,Facere asperiores quibusdam asperiores saepe quod consequatur.
651,Felipe Sampaio,zlima@example.com,1950-08-31,619.387.024-50,41 7143 8205,11701.39,True,06/12/2024,bronze,Eaque aperiam laborum impedit excepturi at voluptas molestiae.
652,Isabela Ferreira,maria-luisamontenegro@example.com,1988-04-27,498.572.301-05,(084) 0948-8423,7352.59,True,28/01/2024,diamante,
653,João Gabriel Cavalcanti,lcosta@example.com,1991-11-12,497.386.520-65,+55 (071) 5217 4021,13268.3,False,,bronze,
654,Dr. Leandro Rios,antonioborges@example.org,1977-11-20,910.283.754-41,0300 030 5502,8870.04,não,08/11/2024,ouro,
655,Henry Gabriel Mendes,osouza@example.net,1947-11-22,175.903.826-12,(084) 6226-7493,24334.85,sim,09/06/2023,ouro,
656,Sr. Diego Gomes,maiteda-cruz@example.net,2005-03-20,00000000000,+55 (031) 4662-1047,21298.4,sim,10/06/2023,bronze,Amet illo aut atque nisi.
657,Clara Silveira,luana39@example.net,2006-06-15,405.673.218-35,+55 (051) 8831-5577,21118.96,False,26/12/2023,bronze,
658,João Pedro Lima,portolevi@example.com,1969-08-30,470.198.652-67,0500 605 7854,3109.62,,29/12/2023,ouro,Sit ab quo deserunt ducimus inventore doloribus cumque totam minima.
659,Emanuel da Conceição,pmonteiro@example.org,1974-11-09,946.120.783-22,+55 (071) 5192-5272,24296.7,sim,30/11/2024,bronze,
660,Benicio da Cruz,sophie83@example.net,2000-06-18,587.264.193-19,+55 (021) 3507 4777,7696.22,True,28/11/2024,ouro,
661,Julia Gonçalves,piressarah@example.org,1999-09-30,348.950.612-05,+55 (021) 3921-1122,3444.54,True,23/02/2025,diamante,Doloribus veniam aliquid ullam nam doloremque.
662,Noah Costa,vmacedo@example.net,1975-09-08,546.839.271-28,71 7244 5640,21031.8,True,06/03/2024,prata,
663,Júlia Cavalcante,pimentajoao@example.com,1992-05-06,632.058.741-53,,,,04/03/2025,bronze,
664,Sra. Isabela Cunha,bella95@example.net,1996-05-05,296.415.370-16,11 2574-7731,19230.0,False,22/05/2024,bronze,Quidem at consectetur ratione non explicabo ab cum.
665,Clarice Lopes,camaraalicia@example.com,2005-06-17,261.087.934-22,,13893.93,,18/05/2024,diamante,Totam aliquid esse suscipit consectetur.
666,Caroline Borges,diogoda-mota@example.org,2003-03-22,327.846.915-19,+55 31 5375 2401,22840.89,False,17/08/2023,prata,Officia mollitia quas eum repellat placeat repellat repellat.
667,Luiza Nogueira,montenegroclarice@example.com,1983-11-03,730.128.946-40,(051) 4059 5664,1996.05,não,31/01/2025,bronze,
668,Zoe Macedo,marcos-vinicius06@example.org,1995-10-07,137.802.649-78,+55 51 6539 4623,2000.08,sim,12/12/2024,diamante,Veritatis quasi consequatur iusto.
669,Nicole Freitas,novaisisaque@example.com,1974-07-17,920.485.167-85,+55 11 6183-0847,21263.95,True,,diamante,Totam odit harum doloremque pariatur eveniet quidem quam explicabo officia.
670,Ravy Guerra,kfogaca@example.net,1987-03-22,752.314.609-07,+55 (081) 5751-7992,21250.15,False,31/12/2023,bronze,
671,Benicio das Neves,macedoravi@example.org,1974-06-18,786.092.154-58,+55 (051) 1837 2582,4707.8,,20/01/2024,,
672,Cauã Machado,melobenicio@example.net,1991-12-17,231.740.695-99,+55 61 8127 3154,7398.8,sim,03/08/2023,diamante,
673,Srta. Manuella Campos,gvargas@example.net,1980-05-20,807.265.943-00,+55 (084) 9185-2760,5244.8,não,12/04/2025,bronze,
674,Luana Teixeira,enzo-gabriel21@example.com,1955-08-31,530.496.127-70,+55 (041) 1716-2670,21005.81,,27/06/2023,ouro,
675,Felipe Pacheco,opereira@example.org,1978-04-23,018.976.432-50,61 1891-6947,4434.98,True,26/10/2023,diamante,
676,Rebeca Abreu,luanpereira@example.com,1975-05-02,708.125.496-94,+55 11 7469-8302,2434.0,True,07/02/2024,diamante,
677,Lucca Lima,novaeszoe@example.org,1975-03-19,803.247.519-23,(011) 8930-9606,1799.5,,26/05/2024,bronze,Officiis sunt ullam commodi autem dicta nesciunt cum.
678,Lorenzo Pastor,mariana42@example.com,2003-11-29,624.071.589-11,+55 31 4127-9249,11665.83,sim,28/07/2023,ouro,
679,Lorena Rezende,agathacunha@example.com,1979-01-17,641.703.592-16,,16418.78,sim,31/12/2023,ouro,
680,Dr. Luiz Otávio Mendes,pietra72@example.net,1981-03-01,734.105.982-60,,2353.02,sim,,prata,
681,Daniela Santos,wferreira@example.org,1963-11-09,135.294.680-70,+55 84 6354 2959,4733.68,sim,18/11/2023,bronze,Corporis ea eos voluptatibus totam esse impedit est.
682,Matteo Novais,gael96@example.com,1989-04-09,00000000000,(071) 5283 7545,19111.54,,27/09/2023,prata,
683,Sra. Giovanna Pastor,fbrito@example.com,1950-12-07,054.971.823-05,,18368.37,sim,27/03/2025,prata,Doloremque autem labore sunt cupiditate saepe rem.
684,Renan Novais,galbuquerque@example.org,1973-06-19,849.061.325-70,31 3405-4114,3045.27,,21/02/2024,prata,
685,Isaac Lopes,vmonteiro@example.com,1950-11-07,689.170.543-66,(051) 9727-3010,23906.68,True,20/05/2024,bronze,Vel unde reprehenderit reprehenderit commodi culpa labore cum facilis.
686,Sofia Casa Grande,souzarodrigo@example.org,1989-06-27,00000000000,41 6272-6428,5982.19,,23/05/2023,ouro,Odio repellendus molestiae excepturi eaque maiores temporibus cumque nesciunt.
687,Sr. Luigi Ribeiro,da-rosajoao-miguel@example.org,1980-02-23,312.458.607-71,+55 (071) 6337-1132,14336.77,sim,28/06/2024,prata,
688,Maria Cecília Vargas,rleao@example.org,1955-12-22,951.037.468-75,,7902.6,True,19/01/2025,bronze,
689,Isabel Rios,gabrielly29@example.com,1988-04-28,253.869.017-02,,2046.12,sim,17/03/2025,prata,
690,Cauã Gomes,marina88@example.net,1944-05-19,936.425.718-91,+55 (081) 7339-3673,7663.9,sim,30/07/2023,ouro,Voluptas mollitia labore eaque aspernatur voluptatum nobis.
691,Ana Carolina Machado,bryan07@example.org,1964-05-26,476.931.805-75,+55 71 7138 0829,12519.53,não,21/10/2023,ouro,
692,Hellena Novais,leandro09@example.com,1966-02-25,861.524.309-33,61 6441-1727,21059.14,,20/09/2024,ouro,
693,Mirella Moura,eda-mota@example.org,1948-06-29,109.728.643-69,+55 21 1604-4687,6296.4,True,23/06/2023,diamante,Facere fugit similique ut at delectus dolore iure sequi.
694,Nathan Sampaio,jose-miguel25@example.net,1966-01-31,392.164.587-55,,24961.4,,27/11/2024,ouro,Explicabo inventore eius libero fuga nostrum soluta saepe illum modi.
695,Srta. Amanda Rios,guilhermecasa-grande@example.net,1988-03-26,589.432.170-05,+55 (084) 5336 0650,18345.09,True,,ouro,
696,Dr. Bernardo da Conceição,costelaanthony@example.net,1976-03-26,417.236.958-82,71 8631-3384,16059.75,não,16/08/2023,,
697,Sarah Ferreira,almeidaleandro@example.com,1970-03-25,876.102.349-31,21 5578-8208,21199.38,sim,06/12/2023,ouro,
698,Apollo da Paz,ucunha@example.com,1979-12-02,502.348.176-07,(031) 9995 3258,6274.37,False,08/03/2025,bronze,Consectetur asperiores ab accusamus quas cum.
699,Júlia Fonseca,antonellagarcia@example.org,1947-07-21,057.823.469-65,+55 (051) 7765 8654,11861.31,True,22/03/2025,ouro,Aut modi quaerat architecto in eius sunt unde beatae accusamus.
700,Maria Laura Porto,manuela14@example.org,1961-02-01,218.304.759-32,0900-610-2595,21629.09,True,07/01/2025,diamante,
701,Heloisa Rocha,lmendes@example.com,1966-02-17,904.517.623-80,(051) 9001-8833,10041.55,False,20/03/2025,bronze,Deserunt nam quaerat fugiat nobis possimus ipsam iusto.
702,Davi Rocha,maria-helenanovais@example.net,1957-08-20,274.590.681-01,+55 (084) 6874-9478,20698.23,False,16/11/2023,diamante,
703,Brenda Pinto,wfogaca@example.org,2002-12-10,429.187.603-31,(021) 9201-8832,23374.12,False,11/02/2025,,
704,Brayan Aragão,dpires@example.com,1972-09-15,00000000000,(061) 8737-2617,,True,18/01/2024,bronze,
705,Evelyn Aragão,alicia97@example.net,1957-04-27,654.817.302-35,+55 81 7021-8584,1785.65,não,10/01/2025,ouro,
706,Maria Eduarda Campos,rafaelaguerra@example.com,1950-07-07,427.301.685-08,+55 31 2881-9768,14840.07,True,27/08/2023,,
707,Calebe da Paz,qnovais@example.com,1979-11-02,512.078.396-12,(021) 0318 3520,23487.01,False,,,Qui asperiores pariatur tempora officiis sint harum consequuntur.
708,Dra. Ana Carolina Fogaça,ana-vitoriada-conceicao@example.com,1983-10-31,703.684.915-01,(084) 9086 8407,11419.86,True,05/11/2023,prata,
709,Lara da Cruz,ceciliaalves@example.net,1977-05-19,326.784.059-74,,9383.32,sim,,prata,
710,Helena Montenegro,yasminrios@example.com,1964-06-05,549.013.267-16,(041) 0876 6448,24505.09,não,12/03/2025,,Ab perspiciatis voluptatibus expedita cumque repellat eos illo consectetur.
711,Srta. Catarina Correia,rafaela91@example.org,1978-01-24,256.481.309-70,+55 61 2370-8847,4718.0,não,15/08/2023,diamante,
712,Noah Silveira,jadecosta@example.org,1978-06-22,015.327.864-17,(071) 7465-6254,18961.95,não,14/02/2025,prata,
713,Esther Moreira,julia49@example.com,1960-06-11,498.613.502-33,(071) 7257 8426,7237.7,,,diamante,
714,Maria Flor Fernandes,melocecilia@example.org,1998-04-30,419.065.328-42,51 2754 3358,5979.51,False,16/07/2023,,
715,Clara Barros,kguerra@example.org,1990-10-11,365.208.479-92,+55 (041) 7467 2921,7017.32,False,,prata,
716,Marina Sousa,calebvieira@example.com,1947-01-13,025.831.497-41,(051) 5713-7300,4704.16,,26/08/2024,prata,
717,Brayan Campos,bsa@example.com,1950-02-06,00000000000,+55 41 8334 1680,,False,28/10/2023,ouro,
718,Heitor Sampaio,riossofia@example.com,1972-06-19,437.850.196-10,0500-036-1262,18738.52,True,23/12/2023,bronze,
719,Léo Lopes,castroester@example.com,1956-10-15,358.076.142-08,+55 (021) 9429-3405,12830.12,False,03/11/2024,ouro,Reprehenderit ipsam ab rerum molestias nesciunt.
720,Noah Caldeira,teixeiraluiza@example.com,1961-11-02,187.023.459-60,31 4433-6080,17709.19,sim,28/11/2023,ouro,
721,Ana Beatriz da Luz,vianagustavo-henrique@example.org,1945-08-02,245.187.063-07,+55 81 5979-2390,9640.29,sim,28/11/2023,,Omnis quibusdam sequi sit possimus nisi qui delectus dolor.
722,Cecilia Barbosa,bella41@example.net,1951-09-27,983.154.706-39,0900-557-4553,15082.81,não,,prata,Tempore saepe illum iusto sint maiores laudantium.
723,Rafael Rios,carvalhoagatha@example.com,1994-11-18,028.394.716-04,51 0765 0998,14911.32,não,06/12/2024,bronze,Iste vitae animi minus eligendi alias beatae ratione totam.
724,Eloah Nogueira,theomendonca@example.org,1965-01-28,893.410.256-05,,22315.55,não,,bronze,
725,Manuella Moraes,helena95@example.com,1952-09-18,357.498.120-14,+55 (041) 4923 9850,2007.54,,26/08/2023,ouro,
726,Luiz Miguel Vieira,waparecida@example.org,1954-12-08,478.015.923-79,41 4952 8644,18322.12,False,05/10/2024,,
727,Valentim Machado,ealves@example.net,1985-11-28,938.416.520-42,0900 321 2958,16216.69,,28/04/2025,bronze,Ullam explicabo et quisquam ad esse.
728,Camila Rodrigues,ester60@example.net,1998-02-15,590.647.231-25,+55 (061) 7902 6576,15231.46,,09/11/2024,diamante,
729,Sra. Ana Vitória Fonseca,ferreiraheitor@example.org,1997-12-01,807.261.495-94,(081) 3096-6428,23799.88,True,03/12/2024,diamante,Voluptates quos voluptatibus fuga nesciunt consequuntur non quam explicabo assumenda.
730,Luiz Miguel Nogueira,noah52@example.org,1953-06-29,528.139.460-60,(081) 9153-7766,19886.88,False,,diamante,
731,Liz Mendes,jribeiro@example.org,1966-07-29,469.823.750-56,51 3195 4596,,,11/08/2023,bronze,
732,Rodrigo da Cunha,vicente49@example.com,1966-03-17,023.791.865-02,(031) 0784 1318,14597.53,False,23/10/2023,,
733,Isabela Fernandes,mirella87@example.com,1947-01-07,783.056.249-00,+55 71 9197 6766,24329.12,não,12/07/2023,diamante,Ea veniam asperiores consequuntur dignissimos.
734,Júlia Correia,xmoura@example.com,1948-02-17,356.917.408-57,(084) 7685-1668,5796.27,True,30/12/2024,prata,Quibusdam et qui ea quas.
735,Renan Moraes,urodrigues@example.com,1996-12-20,851.493.627-19,(041) 3228-3146,21487.51,True,14/08/2023,prata,
736,Apollo Ramos,vmoura@example.net,1972-02-15,590.731.624-16,(021) 5876-1196,9459.82,,01/10/2023,prata,
737,Isaac da Luz,correiasarah@example.net,1989-10-02,125.460.893-15,81 3759 3576,21016.3,True,02/08/2024,bronze,
738,Vinicius Siqueira,maria-vitoria71@example.org,1960-10-13,865.042.379-56,+55 81 8584-1167,2958.14,,14/02/2025,bronze,
739,João Costa,albuquerqueisis@example.net,1999-11-01,396.280.714-40,+55 (011) 7570-5294,8542.53,,,diamante,
740,Maria Vitória da Costa,joao-miguel23@example.org,1976-06-10,479.362.510-06,71 5659 4858,11040.12,não,24/02/2025,bronze,Numquam voluptatum odit odio aperiam quia dolor.
741,Dr. João Vitor Costela,caue65@example.org,1957-07-28,526.408.379-74,71 8432-7225,15201.5,,14/05/2025,,Quam deserunt blanditiis voluptatibus enim corrupti culpa voluptatem.
742,Kaique Machado,jaraujo@example.org,1982-10-13,00000000000,+55 (031) 9840 2518,4656.69,True,12/03/2025,diamante,Doloribus voluptate nesciunt rem quidem quia.
743,Otto Garcia,araujoarthur-gabriel@example.com,2004-08-19,238.546.079-38,,17917.26,sim,03/10/2024,prata,
744,Theo Fernandes,laura18@example.org,1990-07-20,509.138.764-10,81 8011 4395,18382.19,não,29/01/2025,,Doloribus voluptatum iste veniam tenetur dignissimos id eos tempore minima.
745,Olivia Rocha,scirino@example.com,1979-02-18,257.314.680-44,+55 (031) 8837-6428,15481.54,True,20/12/2023,prata,
746,Rebeca Moraes,novaisenzo-gabriel@example.net,1953-02-05,468.351.729-91,+55 (081) 9498-1610,9695.74,True,01/06/2024,bronze,Quibusdam perspiciatis dicta nesciunt.
747,Dr. Henry Melo,aragaohenry@example.org,2006-04-30,027.915.384-88,+55 (011) 4997-2427,7088.89,True,10/10/2023,ouro,Quis a at enim iusto vitae eos.
748,Lívia Pastor,,1971-05-20,317.046.895-20,41 6829-8436,15039.31,True,05/07/2023,bronze,Quas aspernatur animi omnis delectus numquam doloribus excepturi corrupti qui.
749,Sr. Enzo Siqueira,luanda-paz@example.net,2001-08-25,034.172.985-04,(041) 8712-2858,11476.28,não,07/09/2024,ouro,Ipsa debitis quidem ipsa nulla quis officia facilis doloremque.
750,Raul Pastor,amacedo@example.net,1997-12-05,197.603.428-04,(061) 1400 0359,7472.52,True,03/04/2024,prata,
751,Sr. Cauã Aragão,laura61@example.net,1971-02-14,732.510.496-07,+55 51 6838 5842,18965.46,sim,04/06/2023,diamante,
752,Benício Fogaça,vianamariane@example.org,1996-01-19,173.029.468-50,+55 (051) 0699 2744,,False,03/09/2024,,Nihil veritatis porro quo laboriosam temporibus numquam possimus inventore.
753,Clara Campos,daniel89@example.net,1945-07-28,072.569.481-58,,12320.76,não,17/03/2024,,
754,Dra. Eduarda Rocha,emontenegro@example.org,1981-04-07,672.518.340-90,,11512.51,False,27/10/2023,bronze,
755,Ian Nunes,davi-miguel62@example.com,1951-03-19,063.718.924-87,+55 (051) 8561 2189,3996.72,False,07/03/2025,bronze,Accusantium voluptate soluta quae nesciunt aspernatur culpa.
756,Lorena da Rosa,isabela42@example.org,1997-05-16,428.176.503-44,+55 (031) 5590-4286,13933.95,sim,28/05/2023,bronze,
757,Joaquim Ribeiro,melissanovais@example.net,1984-01-11,502.639.481-70,+55 71 2835 2909,9052.23,False,14/09/2023,bronze,Vitae deleniti nam sunt harum qui illum.
758,Bruno da Costa,luiz-gustavosiqueira@example.com,1967-09-12,314.920.567-07,51 7173 0523,12225.86,não,,diamante,
759,Benjamin Casa Grande,vicente26@example.com,1972-09-06,349.852.106-33,,4609.84,sim,21/09/2024,bronze,
760,Diego Novais,dante67@example.net,1952-09-28,297.048.135-97,0500-260-5316,21776.06,False,19/08/2024,bronze,
761,Zoe Cavalcanti,alana09@example.org,1956-10-20,730.951.846-20,+55 (061) 0843 0123,10725.36,,13/01/2024,ouro,
762,Ana Carolina Carvalho,kalves@example.org,1967-08-17,649.328.075-38,21 0117-9680,3172.74,sim,31/12/2024,,
763,Elisa Oliveira,zabreu@example.org,1968-11-27,417.286.539-91,+55 (084) 5469 9448,21980.43,True,15/11/2024,prata,Culpa doloremque adipisci dignissimos eius quaerat quis.
764,Mariana Brito,vitoriamoura@example.net,1959-02-07,047.213.569-43,+55 41 8562 7181,19551.94,False,09/01/2025,bronze,
765,Vitor Gabriel da Conceição,alexiacampos@example.net,1992-11-30,406.127.835-53,+55 71 4379-0840,23971.1,sim,10/10/2024,ouro,
766,Giovanna Novais,xsampaio@example.net,2001-10-10,317.649.280-40,(021) 4313 7278,10482.88,False,22/09/2023,diamante,Totam autem ex odit aliquid ad similique fugiat ex vero.
767,Antônio da Rosa,wda-paz@example.net,1997-08-27,981.673.450-84,+55 21 6487 9344,19575.16,False,02/08/2024,diamante,
768,Manuela Rezende,josecavalcante@example.net,1958-01-07,301.546.289-05,0500-538-1968,1411.65,sim,,,Alias quas nemo eum repellendus laborum.
769,Ana Julia Machado,emillymendes@example.org,1988-08-01,812.763.950-86,+55 (061) 5036-6579,22712.2,True,01/01/2024,bronze,
770,Davi Lucca Moraes,xmoraes@example.net,1947-04-02,237.958.410-97,0800 307 2535,18543.71,True,13/02/2025,,Laboriosam dolore fuga tempore voluptatum.
771,Sr. Fernando Pacheco,beatriz28@example.net,1970-03-12,670.254.318-26,+55 11 4060-3001,8425.94,sim,,,
772,Gabriela Câmara,ian97@example.com,2002-09-18,328.759.064-29,21 3406-9514,11862.71,,01/10/2024,,
773,Théo Macedo,alexandre70@example.net,1988-01-10,859.276.134-46,(051) 1693 9887,13432.03,True,23/10/2023,ouro,
774,Olívia Ramos,gpacheco@example.org,1986-04-30,621.984.375-46,61 2528 7420,16890.83,sim,11/11/2023,diamante,
775,Heloísa Rios,liamda-paz@example.net,1989-10-19,918.327.046-96,(041) 1457 8105,20797.87,não,24/06/2023,,
776,Ravy Casa Grande,davi-luiz65@example.net,1991-10-18,351.402.967-99,,8596.77,não,23/10/2024,diamante,
777,Henry Gabriel Nascimento,rsantos@example.org,1965-05-21,256.904.381-89,+55 (084) 7024 1787,11943.24,,18/07/2023,bronze,
778,Sophie Lima,tcasa-grande@example.net,2004-08-25,405.139.687-84,+55 (071) 2852 2035,23133.55,,24/11/2024,prata,
779,Maria Eduarda Viana,eborges@example.net,1973-11-28,507.964.328-56,+55 (084) 0754-8566,18087.73,False,03/05/2025,,
780,Sr. André Ribeiro,leandrocastro@example.org,1988-09-11,453.926.780-92,21 4176 9424,23575.97,False,17/12/2024,diamante,
781,Sr. Diogo Silveira,lfogaca@example.com,2000-04-30,640.279.851-76,0800-763-7990,13864.55,False,07/03/2025,prata,
782,Maitê Novais,imoreira@example.org,1953-11-25,297.038.154-05,+55 (061) 2136 6989,7477.22,,12/03/2025,ouro,Ipsa id esse labore error.
783,Bryan Novaes,leonardo91@example.org,1971-03-16,609.517.283-77,(041) 2737-5807,11589.01,True,,diamante,
784,Antony Camargo,ipinto@example.net,1980-10-15,285.374.109-50,,19220.19,,07/11/2024,diamante,
785,Thomas Albuquerque,renan54@example.org,1964-07-22,378.591.046-01,(041) 9420 5590,20076.59,False,22/08/2024,,
786,Rafael Brito,cavalcantirael@example.net,1999-12-17,062.157.843-62,,13163.74,sim,27/12/2024,prata,
787,Dr. Juan Albuquerque,nleao@example.org,1962-03-15,835.964.127-73,+55 (084) 4420-1264,20781.44,não,03/07/2023,,Iusto voluptas quis modi corrupti nam ipsa.
788,Luiz Felipe da Costa,enzo-gabriel06@example.org,1983-09-05,168.259.473-46,+55 (081) 2554-0718,13805.52,não,,bronze,
789,Henrique Lima,tdas-neves@example.net,1983-03-08,193.785.460-48,+55 31 8792-8493,5416.57,,02/01/2024,diamante,Architecto tempora nostrum saepe aliquam commodi exercitationem corporis amet praesentium.
790,Vitor Gabriel Lima,da-luzagatha@example.org,1991-03-09,174.253.906-80,,17598.61,não,18/03/2024,,
791,Joana Santos,pedro62@example.com,1970-05-18,507.469.213-06,+55 61 4163-5703,23467.19,não,13/01/2024,diamante,
792,Ana Júlia Nunes,vitor84@example.com,1980-11-16,748.092.513-14,+55 (081) 0047-4088,16431.23,não,06/05/2024,prata,Corporis rem dicta eaque repudiandae nesciunt velit laudantium.
793,Mirella Martins,esterferreira@example.org,1999-08-31,270.931.654-43,+55 31 3122-1164,23155.08,,03/04/2024,prata,
794,Manuella da Costa,moraesmelissa@example.org,1983-02-03,671.508.249-94,+55 71 4378 8935,14589.92,não,13/03/2025,bronze,
795,Davi Luiz Pinto,cassianoisaac@example.net,1999-04-02,518.490.723-88,+55 31 1193 2679,23360.21,sim,09/05/2024,ouro,
796,Lucas Araújo,luara16@example.com,1993-04-23,705.638.129-40,(021) 7839-3146,1617.35,não,,diamante,
797,Brenda Monteiro,mourarodrigo@example.net,1973-03-17,236.075.819-59,,20382.21,,,bronze,Veritatis et fugit assumenda nihil velit nisi eos praesentium.
798,Alícia da Paz,ferreiracamila@example.com,1952-12-18,237.860.914-04,(061) 7634 1920,9843.02,,04/07/2024,bronze,Quidem nemo accusantium veritatis porro iusto.
799,Ian Rodrigues,jsampaio@example.org,1997-06-10,986.215.703-86,(061) 5234-6412,21533.27,não,12/04/2025,bronze,Aliquid earum culpa perspiciatis molestiae molestiae aperiam facilis.
800,Julia Cavalcanti,jjesus@example.net,1995-09-29,859.302.716-40,0800 564 5028,2241.46,True,12/09/2024,bronze,Eum suscipit quo itaque itaque repellendus sapiente facilis.
801,Bella da Rocha,davi-luizgomes@example.com,2001-09-26,653.208.947-83,0300-761-8973,2263.46,sim,,diamante,
802,Srta. Maria Sophia Pinto,pastorisis@example.org,1972-09-24,174.630.829-03,41 5878-6808,4886.45,True,16/11/2023,diamante,
803,Marina Fonseca,pachecomariah@example.net,2000-12-18,381.275.496-73,41 4894-7941,15967.9,False,05/04/2024,ouro,Adipisci eos minima perferendis ipsam excepturi numquam eius.
804,Luiz Gustavo da Mota,zoe57@example.org,1948-03-07,405.683.172-62,+55 (051) 5589 1292,21967.1,True,10/05/2025,bronze,
805,Bruna Cirino,rochaleonardo@example.org,1977-05-05,852.160.943-42,(051) 8049-6642,16664.35,sim,17/08/2023,prata,Rerum ex recusandae vitae magnam.
806,Clara Albuquerque,,1967-04-06,284.751.063-07,(084) 4191-7366,15763.63,,22/01/2024,bronze,
807,Anthony Sales,costelaleticia@example.com,1982-02-03,00000000000,0500 221 5805,11122.22,sim,19/03/2025,bronze,
808,Murilo Cavalcante,anaguerra@example.org,1964-06-28,00000000000,+55 71 8092 7042,22061.46,,17/09/2024,diamante,
